entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Low SDI,2016,0.211215,0.593789,0.119906,3.535258,0.577892,3.616096,1.26333
Low-middle SDI,2016,0.229915,0.611454,0.158711,3.646258,0.725702,3.636312,1.275253
Luxembourg,2016,0.263502,0.934455,0.738064,5.316325,0.937419,3.616485,1.358456
Macedonia,2016,0.202345,0.710926,0.182335,3.392157,0.494863,2.331982,1.874281
Madagascar,2016,0.164047,0.632303,0.105026,3.575132,0.495276,3.70291,1.509461
Malawi,2016,0.154339,0.605538,0.100071,3.649814,0.506466,3.417237,1.606335
Malaysia,2016,0.252067,0.578704,0.199211,4.371437,0.669224,3.489505,0.644619
Maldives,2016,0.243821,0.564826,0.156533,3.174837,0.692803,3.112616,0.830768
Mali,2016,0.167539,0.628543,0.116156,2.886279,0.442756,2.988319,0.904496
Malta,2016,0.25733,0.962704,0.512867,5.31739,0.868233,3.359126,1.10931
Marshall Islands,2016,0.21844,0.429043,0.112011,3.238067,0.772851,3.108909,1.224377
Mauritania,2016,0.178985,0.6618,0.144351,2.930587,0.502163,3.07509,0.928828
Mauritius,2016,0.241363,0.564494,0.181509,3.321764,0.71095,3.486806,1.301878
Mexico,2016,0.211551,0.818522,0.315249,3.184675,0.812158,2.779875,1.730409
Micronesia (country),2016,0.219282,0.437311,0.10896,3.254775,0.772896,3.140201,1.179945
Middle SDI,2016,0.260077,0.54677,0.181277,3.344933,0.834179,3.178343,1.243884
Moldova,2016,0.183429,0.68054,0.140388,2.887398,0.657533,3.431132,4.074572
Mongolia,2016,0.189989,0.654278,0.176766,2.563072,0.52969,3.53802,3.480955
Montenegro,2016,0.202979,0.712658,0.193395,3.425511,0.605848,2.564183,1.853489
Morocco,2016,0.186242,0.78142,0.173458,4.985492,1.632084,5.472267,0.575041
Mozambique,2016,0.155892,0.610697,0.102066,3.663048,0.526056,3.895806,1.703293
Myanmar,2016,0.21291,0.510042,0.12292,3.311078,0.574688,2.290754,0.870418
Namibia,2016,0.176883,0.63183,0.198721,3.50356,0.774925,3.434254,1.676714
Nepal,2016,0.24598,0.584169,0.126455,3.871915,0.500198,3.640557,1.523243
Netherlands,2016,0.361956,0.947366,0.465927,6.598856,0.974106,4.028952,0.76508
New Zealand,2016,0.341011,1.206293,0.671415,8.539988,2.04481,3.967684,2.134993
Nicaragua,2016,0.199311,0.798994,0.202998,2.911707,0.592163,2.853619,2.055006
Niger,2016,0.163509,0.631047,0.095063,2.887914,0.460324,3.457355,0.910718
Nigeria,2016,0.181795,0.644004,0.162295,2.915862,0.459159,4.00117,0.964779
North Africa and Middle East,2016,0.195606,0.791202,0.213108,4.956391,1.716903,3.959267,0.659502
North America,2016,0.332633,0.657948,0.513733,6.49664,3.245661,4.730472,1.986533
North Korea,2016,0.235679,0.326294,0.090724,3.242756,0.922426,3.095069,1.36622
Northern Ireland,2016,0.262852,1.142346,0.523092,7.60867,1.239,4.151499,1.142643
Northern Mariana Islands,2016,0.258481,0.487304,0.19845,3.308127,0.787101,3.10145,1.45456
Norway,2016,0.211442,0.85673,0.57103,7.590933,0.840068,3.723569,1.422242
Oceania,2016,0.213953,0.419235,0.109346,3.208084,0.737492,3.171132,1.19373
Oman,2016,0.202697,0.787314,0.254501,4.519805,1.727339,3.418318,0.692908
Pakistan,2016,0.256521,0.574056,0.153427,3.822465,0.662558,3.316397,1.529349
Palestine,2016,0.187999,0.824526,0.141648,4.982112,1.521228,4.70588,0.649049
Panama,2016,0.212521,0.811328,0.310169,2.888805,0.724655,2.669997,1.410531
Papua New Guinea,2016,0.208884,0.411009,0.10351,3.191125,0.735097,3.176196,1.211666
Paraguay,2016,0.201928,1.075336,0.235552,6.013757,0.530195,2.955169,2.371826
Peru,2016,0.202959,0.890629,0.368377,4.26044,0.582292,2.269521,1.433314
Philippines,2016,0.223321,0.534673,0.132335,3.26487,0.64547,2.756013,0.893111
Poland,2016,0.207302,0.711771,0.226805,3.461527,0.793756,2.257029,2.039924
Portugal,2016,0.24916,0.925408,0.512185,5.380981,0.699273,4.494714,1.269966
Puerto Rico,2016,0.212354,0.942212,0.413068,4.683273,0.929357,2.724418,1.691221
Qatar,2016,0.21526,0.819934,0.317081,4.334822,2.016525,3.48023,0.733125
Romania,2016,0.200786,0.751527,0.198926,3.229223,0.455681,2.350485,1.6943
Russia,2016,0.198225,0.675754,0.230686,2.946767,0.934693,3.698973,4.887594
Rwanda,2016,0.163197,0.625119,0.114004,3.695472,0.58074,3.860959,2.345581
Saint Lucia,2016,0.199954,0.904815,0.285017,4.593912,0.8948,2.837408,1.905798
Saint Vincent and the Grenadines,2016,0.196203,0.880209,0.273784,4.522762,0.794054,2.857505,2.225185
Samoa,2016,0.234975,0.460425,0.125866,3.25613,0.849997,3.042929,1.11035
Sao Tome and Principe,2016,0.178214,0.663191,0.133377,2.920165,0.491577,3.125501,1.015514
Saudi Arabia,2016,0.205494,0.817278,0.28672,4.752859,1.697876,3.522628,0.679916
Scotland,2016,0.238487,0.944505,0.471486,4.736634,1.918939,4.15892,3.337728
Senegal,2016,0.173269,0.647737,0.124287,2.89667,0.474385,3.34987,0.9211
Serbia,2016,0.199932,0.698684,0.186224,3.405636,0.444604,2.574493,2.02404
Seychelles,2016,0.246864,0.565934,0.194795,3.303375,0.787831,2.885115,0.857306
Sierra Leone,2016,0.165087,0.624353,0.108252,2.878982,0.491967,3.581284,0.936256
Singapore,2016,0.273738,0.73101,0.547688,3.730091,0.913157,3.42996,0.487148
Slovakia,2016,0.208214,0.712163,0.233693,3.446144,0.682712,2.403851,2.486322
Slovenia,2016,0.211838,0.725195,0.239438,3.451553,0.907816,2.86876,2.239801
Solomon Islands,2016,0.210117,0.427564,0.093325,3.212748,0.699009,3.159692,1.136003
Somalia,2016,0.153885,0.620139,0.079322,3.561614,0.496591,3.781353,1.541579
South Africa,2016,0.181825,0.636533,0.21441,3.991029,0.941842,3.729763,1.577801
South Asia,2016,0.258262,0.561826,0.152269,3.451689,0.536553,3.560997,1.206652
South Korea,2016,0.263645,0.569671,0.414479,3.788117,0.911473,3.13916,2.020232
South Sudan,2016,0.168809,0.625576,0.134691,3.544292,0.50111,3.692748,1.5501
Southeast Asia,2016,0.230559,0.540837,0.143057,3.162166,0.63916,2.800115,0.916475
"Southeast Asia, East Asia, and Oceania",2016,0.303047,0.388659,0.15079,3.071804,0.951093,3.193685,1.152061
Southern Latin America,2016,0.198906,0.7781,0.403636,6.279755,1.06078,3.765739,1.9657
Southern Sub-Saharan Africa,2016,0.177328,0.631436,0.195599,3.796264,0.896019,3.678232,1.575362
Spain,2016,0.281139,0.976831,0.733354,5.279232,1.456723,3.522661,0.890794
Sri Lanka,2016,0.237027,0.568732,0.155748,3.368449,0.664479,3.444301,0.958813
Sub-Saharan Africa,2016,0.169153,0.629259,0.132613,3.304061,0.534922,3.788201,1.312215
Sudan,2016,0.17579,0.746978,0.144902,4.894983,1.402217,3.7815,0.64622
Suriname,2016,0.186762,0.868995,0.305583,4.563082,0.69657,3.991231,1.76417
Swaziland,2016,0.172507,0.608139,0.189076,3.482078,0.788665,4.058231,1.713141
Sweden,2016,0.272043,1.058056,0.569377,5.295184,0.706037,4.50042,1.659861
Switzerland,2016,0.262198,0.953442,0.573503,5.357419,1.00519,3.714226,1.378729
Syria,2016,0.189272,0.809554,0.160999,4.969284,1.505032,3.563533,0.622098
Taiwan,2016,0.262127,0.352288,0.238783,3.445336,0.920537,3.021449,2.066616
Tajikistan,2016,0.181756,0.665915,0.116935,2.522415,0.468703,2.555986,2.199223
Tanzania,2016,0.164846,0.625609,0.128102,3.627203,0.515843,3.678271,1.548703
Thailand,2016,0.23421,0.54256,0.1719,3.326769,0.826159,3.085204,0.901656
Timor,2016,0.204071,0.502713,0.110643,3.230988,0.630828,3.138351,0.823439
Togo,2016,0.164342,0.629215,0.107146,2.908321,0.483072,3.655581,0.966218
Tonga,2016,0.235762,0.462574,0.125487,3.295908,0.761871,2.918119,1.136137
Trinidad and Tobago,2016,0.177492,0.89832,0.389161,4.629343,0.730056,3.33339,1.725929
Tropical Latin America,2016,0.205289,1.10585,0.274052,6.135744,1.04177,3.294637,2.681842
Tunisia,2016,0.197995,0.838567,0.199433,5.070049,1.696946,3.911391,0.652629
Turkey,2016,0.220914,0.848745,0.304162,3.911946,1.531682,3.721385,0.777758
Turkmenistan,2016,0.196275,0.667866,0.196563,2.56428,0.517589,2.820538,2.579723
Uganda,2016,0.159918,0.609847,0.118044,3.518378,0.541182,4.957013,1.294163
Ukraine,2016,0.190957,0.687417,0.172673,2.941808,0.704197,4.080101,4.762349
United Arab Emirates,2016,0.211336,0.805597,0.260497,4.250193,2.951503,2.868621,0.758189
United Kingdom,2016,0.260519,1.08636,0.543352,4.653107,1.682097,4.122485,1.907524
United States,2016,0.334578,0.651569,0.517728,6.642099,3.353142,4.813114,2.028263
United States Virgin Islands,2016,0.21755,0.935085,0.482149,4.719693,0.812283,2.925232,2.228715
Uruguay,2016,0.198641,0.78126,0.398546,6.313555,0.927602,3.600303,1.188669
Uzbekistan,2016,0.187838,0.668819,0.151327,2.558292,0.478654,2.88586,1.900334
Vanuatu,2016,0.214872,0.42733,0.10613,3.2181,0.693318,3.130135,1.213489
Venezuela,2016,0.205604,0.77962,0.282376,2.866391,0.638995,2.813069,1.371151
Vietnam,2016,0.243709,0.552084,0.126256,2.059037,0.687896,2.879813,1.736929
Wales,2016,0.251592,0.939038,0.498985,4.77515,1.566269,4.056699,1.674253
Western Europe,2016,0.260731,0.942492,0.575355,5.708916,1.14349,3.926697,1.384357
Western Sub-Saharan Africa,2016,0.17498,0.637211,0.141193,2.90635,0.485547,3.733871,0.968472
World,2016,0.254282,0.59714,0.209525,3.769698,0.935503,3.439675,1.405176
Yemen,2016,0.172087,0.735593,0.135178,4.854853,1.410645,4.01595,0.635438
Zambia,2016,0.165463,0.605631,0.140713,3.592016,0.510889,3.608843,1.633095
Zimbabwe,2016,0.157111,0.610234,0.121456,3.104294,0.772275,3.174134,1.513269
